drug_id,active_ingredients,group_related,num_act_ingr
1016_test,OLANZAPINE,Antidepresivos y Psicotrópicos,1
1016_train,ISRADIPINE,Antihipertensivos y Cardiovasculares,1
1017_test,IRBÉSARTAN,Antihipertensivos y Cardiovasculares,1
1017_train,CAPTOPRIL,Otras,1
1018_test,GABAPENTINE,Anticonvulsivos y Antiepilépticos,1
1018_train,CHLORHYDRATE DE DONÉPÉZIL,Antivirales,1
1019_test,PROGESTÉRONE,Antivirales,1
1019_train,"PÉRINDOPRIL,  PÉRINDOPRIL TERT-BUTYLAMINE,  INDAPAMIDE",Antiinflamatorios y Analgésicos,3
102_test,"VALACICLOVIR,  CHLORHYDRATE DE VALACICLOVIR",Antivirales,2
102_train,"HYDROCHLOROTHIAZIDE,  FUMARATE DE BISOPROLOL",Antihipertensivos y Cardiovasculares,2
1020_test,"CHLORHYDRATE DE METFORMINE,  METFORMINE BASE",Antidiabéticos,2
1020_train,"LÉVOFLOXACINE HÉMIHYDRATÉE,  LÉVOFLOXACINE",Antiinflamatorios y Analgésicos,2
1021_test,PRAVASTATINE SODIQUE,Antihipertensivos y Cardiovasculares,1
1021_train,"MÉTHYLPREDNISOLONE (HÉMISUCCINATE DE),  MÉTHYLPREDNISOLONE",Hormonas y Moduladores Hormonales,2
1022_test,CLARITHROMYCINE,Inmunosupresores y Moduladores del Sistema Inmune,1
1022_train,"HYDROCHLOROTHIAZIDE,  VALSARTAN",Antihipertensivos y Cardiovasculares,2
1023_test,DALTÉPARINE SODIQUE,Otras,1
1023_train,GLIMÉPIRIDE,Antidiabéticos,1
1024_test,ONDANSÉTRON,Otras,1
1024_train,"HYDROCHLOROTHIAZIDE,  MALÉATE D'ÉNALAPRIL",Antihipertensivos y Cardiovasculares,2
1025_test,MÉLOXICAM,Antiinflamatorios y Analgésicos,1
1025_train,GLIMÉPIRIDE,Antidiabéticos,1
1026_test,TRINITRINE,Antiinflamatorios y Analgésicos,1
1026_train,RABÉPRAZOLE SODIQUE,Otras,1
1027_test,FLUTAMIDE,Hormonas y Moduladores Hormonales,1
1027_train,"LISINOPRIL ANHYDRE,  LISINOPRIL DIHYDRATÉ",Antihipertensivos y Cardiovasculares,2
1028_test,CÉLÉCOXIB,Antiinflamatorios y Analgésicos,1
1028_train,"THÉOPHYLLINE ANHYDRE,  THÉOPHYLLINE MONOHYDRATÉE",Antidepresivos y Psicotrópicos,2
1029_test,PRAVASTATINE SODIQUE,Antihipertensivos y Cardiovasculares,1
1029_train,"FLUVASTATINE SODIQUE,  FLUVASTATINE",Antihipertensivos y Cardiovasculares,2
103_test,"PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ,  PANTOPRAZOLE",Otras,2
103_train,SIMVASTATINE,Otras,1
1030_test,CHLORHYDRATE DE LERCANIDIPINE,Antihipertensivos y Cardiovasculares,1
1030_train,"HYDROCHLOROTHIAZIDE,  OLMÉSARTAN MÉDOXOMIL",Antihipertensivos y Cardiovasculares,2
1031_test,"CIPROFLOXACINE,  CHLORHYDRATE DE CIPROFLOXACINE",Antibióticos y Antimicrobianos,2
1031_train,OMÉPRAZOLE,Antibióticos y Antimicrobianos,1
1032_test,FENTANYL (CITRATE DE),Antiinflamatorios y Analgésicos,1
1032_train,ÉPOÉTINE BÊTA,Hormonas y Moduladores Hormonales,1
1033_test,RAMIPRIL,Antihipertensivos y Cardiovasculares,1
1033_train,VALSARTAN,Antihipertensivos y Cardiovasculares,1
1034_test,"BENZALKONIUM (CHLORURE DE),  SOLUTION DE,  SOLUTION DE DIGLUCONATE DE CHLORHEXIDINE,  CHLORHEXIDINE (GLUCONATE DE),  CHLORURE DE BENZALKONIUM",Otras,5
1034_train,"CÉFUROXIME,  CÉFUROXIME AXÉTIL",Antibióticos y Antimicrobianos,2
1035_test,VALSARTAN,Antihipertensivos y Cardiovasculares,1
1035_train,FOSINOPRIL SODIQUE,Antibióticos y Antimicrobianos,1
1036_test,"METFORMINE BASE,  CHLORHYDRATE DE METFORMINE",Antidiabéticos,2
1036_train,GLIMÉPIRIDE,Antidiabéticos,1
1037_test,"CÉFIXIME ANHYDRE,  CÉFIXIME TRIHYDRATÉE",Antibióticos y Antimicrobianos,2
1037_train,ZOLMITRIPTAN,Antiinflamatorios y Analgésicos,1
1038_test,IRBÉSARTAN,Antihipertensivos y Cardiovasculares,1
1038_train,NÉVIRAPINE ANHYDRE,Antivirales,1
1039_test,"IODE,  IOPROMIDE",Antivirales,2
1039_train,CHLORHYDRATE DE TRAMADOL,Otras,1
104_test,FÉNOFIBRATE,Antihipertensivos y Cardiovasculares,1
104_train,GLIMÉPIRIDE,Antidiabéticos,1
1040_test,TIANEPTINE SODIQUE,Otras,1
1040_train,LÉFLUNOMIDE,Inmunosupresores y Moduladores del Sistema Inmune,1
1041_test,DÉSOGESTREL,Hormonas y Moduladores Hormonales,1
1041_train,"ATORVASTATINE,  ATORVASTATINE CALCIQUE TRIHYDRATÉE",Antidepresivos y Psicotrópicos,2
1042_test,FÉNOFIBRATE,Antihipertensivos y Cardiovasculares,1
1042_train,ACÉTYLLEUCINE,Antiinflamatorios y Analgésicos,1
1043_test,LÉVONORGESTREL,Otras,1
1043_train,GADOTÉRIDOL,Antivirales,1
1044_test,"CANDÉSARTAN CILEXÉTIL,  HYDROCHLOROTHIAZIDE",Antihipertensivos y Cardiovasculares,2
1044_train,"HYDROGÉNOTARTRATE DE RIVASTIGMINE,  RIVASTIGMINE BASE",Antihipertensivos y Cardiovasculares,2
1045_test,"ADRÉNALINE,  CHLORHYDRATE DE LIDOCAÏNE,  CHLORHYDRATE DE LIDOCAÏNE ANHYDRE,  TARTRATE D'ADRÉNALINE",Antiinflamatorios y Analgésicos,4
1045_train,"BÉSILATE D'AMLODIPINE,  AMLODIPINE",Antihipertensivos y Cardiovasculares,2
1046_test,ACÉTATE DE FLÉCAÏNIDE,Antiinflamatorios y Analgésicos,1
1046_train,VÉRAPAMIL (CHLORHYDRATE DE),Antidepresivos y Psicotrópicos,1
1047_test,RISPÉRIDONE,Antidepresivos y Psicotrópicos,1
1047_train,"DOXYCYCLINE ANHYDRE,  DOXYCYCLINE MONOHYDRATÉE",Antibióticos y Antimicrobianos,2
1048_test,"CANDÉSARTAN CILEXÉTIL,  HYDROCHLOROTHIAZIDE",Antihipertensivos y Cardiovasculares,2
1048_train,WARFARINE SODIQUE,Otras,1
1049_test,ACÉTYLSALICYLIQUE (ACIDE),Antiinflamatorios y Analgésicos,1
1049_train,PARACÉTAMOL,Antiinflamatorios y Analgésicos,1
105_test,RIFAMPICINE,Antibióticos y Antimicrobianos,1
105_train,PRAVASTATINE SODIQUE,Antihipertensivos y Cardiovasculares,1
1050_test,"HYDROCHLOROTHIAZIDE,  LOSARTAN POTASSIQUE",Antihipertensivos y Cardiovasculares,2
1050_train,LÉVÉTIRACÉTAM,Anticonvulsivos y Antiepilépticos,1
1051_test,"PÉRINDOPRIL,  INDAPAMIDE,  PÉRINDOPRIL TERT-BUTYLAMINE",Antiinflamatorios y Analgésicos,3
1051_train,"ATORVASTATINE,  ATORVASTATINE CALCIQUE TRIHYDRATÉE",Antidepresivos y Psicotrópicos,2
1052_test,"CHLORHYDRATE DE VALACICLOVIR,  VALACICLOVIR",Antivirales,2
1052_train,"AMINOSALICYLATE DE SODIUM DIHYDRATÉ,  P A S SODIQUE ANHYDRE",Antihipertensivos y Cardiovasculares,2
1053_test,"AMOXICILLINE TRIHYDRATÉE,  CLAVULANATE DE POTASSIUM,  AMOXICILLINE BASE,  CLAVULANIQUE (ACIDE)",Antihipertensivos y Cardiovasculares,4
1053_train,"QUINAPRIL (CHLORHYDRATE DE),  QUINAPRIL BASE",Antihipertensivos y Cardiovasculares,2
1054_test,ANASTROZOLE,Antihipertensivos y Cardiovasculares,1
1054_train,PARACÉTAMOL,Antiinflamatorios y Analgésicos,1
1055_test,PRAVASTATINE SODIQUE,Antihipertensivos y Cardiovasculares,1
1055_train,GLIMÉPIRIDE,Antidiabéticos,1
1056_test,"CHLORHYDRATE DE MÉMANTINE,  MÉMANTINE",Antihipertensivos y Cardiovasculares,2
1056_train,PHLOROGLUCINOL HYDRATÉ,Antidepresivos y Psicotrópicos,1
1057_test,CANDÉSARTAN CILEXÉTIL,Otras,1
1057_train,ALLOPURINOL,Otras,1
1058_test,CHLORHYDRATE DE LERCANIDIPINE,Antihipertensivos y Cardiovasculares,1
1058_train,"GLUCOSE MONOHYDRATÉ,  GLUCOSE ANHYDRE",Antidiabéticos,2
1059_test,"VALACICLOVIR,  CHLORHYDRATE DE VALACICLOVIR",Antivirales,2
1059_train,PRÉGABALINE,Antivirales,1
106_test,KÉTOPROFÈNE,Antiinflamatorios y Analgésicos,1
106_train,NILUTAMIDE,Otras,1
1060_test,OMÉPRAZOLE,Antibióticos y Antimicrobianos,1
1060_train,MÉTOPROLOL (TARTRATE DE),Antihipertensivos y Cardiovasculares,1
1061_test,SIMVASTATINE,Otras,1
1061_train,TARTRATE DE MÉTOPROLOL,Otras,1
1062_test,"LITHIUM,  GLUCONATE DE LITHIUM",Antihipertensivos y Cardiovasculares,2
1062_train,"ARGININE,  ACIDE ASPARTIQUE,  GLYCÉROPHOSPHATE DE SODIUM PENTAHYDRATÉ,  TYROSINE,  CHLORURE DE CALCIUM DIHYDRATÉ,  LYSINE,  ACÉTATE DE SODIUM TRIHYDRATÉ,  SÉRINE,  HUILE D'OLIVE RAFFINÉE POUR PRÉPARATIONS INJECTABLES,  GLUCOSE ANHYDRE,  CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ,  LEUCINE,  THRÉONINE,  PHÉNYLALANINE,  GLUCOSE MONOHYDRATÉ,  MÉTHIONINE,  ACIDE GLUTAMIQUE,  ACÉTATE DE LYSINE,  CHLORURE DE POTASSIUM,  VALINE,  GLYCINE,  HISTIDINE,  TRYPTOPHANE L,  PROLINE,  HUILE DE SOJA RAFFINÉE,  ISOLEUCINE,  ALANINE",Antibióticos y Antimicrobianos,27
1063_test,"AMOXICILLINE TRIHYDRATÉE,  AMOXICILLINE ANHYDRE",Antihipertensivos y Cardiovasculares,2
1063_train,"FLUVASTATINE BASE,  FLUVASTATINE SODIQUE",Antihipertensivos y Cardiovasculares,2
1064_test,CHLORHYDRATE DE MIANSÉRINE,Antidepresivos y Psicotrópicos,1
1064_train,PROMESTRIÈNE,Otras,1
1065_test,PRAZIQUANTEL,Antivirales,1
1065_train,CARVÉDILOL,Antihipertensivos y Cardiovasculares,1
1066_test,"NÉTILMICINE BASE,  NÉTILMICINE (SULFATE DE)",Antibióticos y Antimicrobianos,2
1066_train,"DICLOFÉNAC DE DIÉTHYLAMINE,  DICLOFÉNAC SODIQUE",Antiinflamatorios y Analgésicos,2
1067_test,MÉLOXICAM,Antiinflamatorios y Analgésicos,1
1067_train,EXÉMESTANE,Otras,1
1068_test,"ALGINATE DE SODIUM,  BICARBONATE DE SODIUM",Antivirales,2
1068_train,"RABÉPRAZOLE SODIQUE,  RABÉPRAZOLE BASE",Otras,2
1069_test,MOXONIDINE,Antihipertensivos y Cardiovasculares,1
1069_train,HAEMOPHILUS TYPE B (POLYOSIDE) CONJUGUÉ À LA PROTÉINE TÉTANIQUE,Otras,1
107_test,MIGLITOL,Otras,1
107_train,ACÉTATE DE CYPROTÉRONE,Antiinflamatorios y Analgésicos,1
1070_test,RAMIPRIL,Antihipertensivos y Cardiovasculares,1
1070_train,"ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ,  ÉSOMÉPRAZOLE",Antiinflamatorios y Analgésicos,2
1071_test,CROMOGLICATE DE SODIUM,Anticonvulsivos y Antiepilépticos,1
1071_train,PRAVASTATINE SODIQUE,Antihipertensivos y Cardiovasculares,1
1072_test,CARVÉDILOL,Antihipertensivos y Cardiovasculares,1
1072_train,CHLORHYDRATE DE SOTALOL,Antihipertensivos y Cardiovasculares,1
1073_test,RUFINAMIDE,Anticonvulsivos y Antiepilépticos,1
1073_train,"IVABRADINE,  IVABRADINE (CHLORHYDRATE D')",Otras,2
1074_test,PARACÉTAMOL,Antiinflamatorios y Analgésicos,1
1074_train,FOSINOPRIL SODIQUE,Antibióticos y Antimicrobianos,1
1075_test,ACÉTATE DE MÉDROXYPROGESTÉRONE,Antiinflamatorios y Analgésicos,1
1075_train,MANIDIPINE (DICHLORHYDRATE DE),Antihipertensivos y Cardiovasculares,1
1076_test,RISPÉRIDONE,Antidepresivos y Psicotrópicos,1
1076_train,ANASTROZOLE,Antihipertensivos y Cardiovasculares,1
1077_test,ACÉTATE DE CHLORMADINONE,Antiinflamatorios y Analgésicos,1
1077_train,FÉNOFIBRATE,Antihipertensivos y Cardiovasculares,1
1078_test,RISPÉRIDONE,Antidepresivos y Psicotrópicos,1
1078_train,"HYDROCHLOROTHIAZIDE,  VALSARTAN",Antihipertensivos y Cardiovasculares,2
1079_test,GLIMÉPIRIDE,Antidiabéticos,1
1079_train,"ATORVASTATINE,  ATORVASTATINE CALCIQUE",Antidepresivos y Psicotrópicos,2
108_test,CHLORHYDRATE DE TAMSULOSINE,Antihipertensivos y Cardiovasculares,1
108_train,NICORANDIL,Antihipertensivos y Cardiovasculares,1
1080_test,OMÉPRAZOLE,Antibióticos y Antimicrobianos,1
1080_train,GABAPENTINE,Anticonvulsivos y Antiepilépticos,1
1081_test,CARBOMÈRE 980,Otras,1
1081_train,RIFABUTINE,Antibióticos y Antimicrobianos,1
1082_test,"PÉRINDOPRIL,  PÉRINDOPRIL TERT-BUTYLAMINE",Antihipertensivos y Cardiovasculares,2
1082_train,"RALOXIFÈNE BASE,  CHLORHYDRATE DE RALOXIFÈNE",Antihipertensivos y Cardiovasculares,2
1083_test,FUMARATE DE FORMOTÉROL DIHYDRATÉ,Antihipertensivos y Cardiovasculares,1
1083_train,PRAVASTATINE SODIQUE,Antihipertensivos y Cardiovasculares,1
1084_test,"PANTOPRAZOLE,  PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ",Otras,2
1084_train,CHLORHYDRATE DE BÉNAZÉPRIL,Antihipertensivos y Cardiovasculares,1
1085_test,LOSARTAN POTASSIQUE,Antihipertensivos y Cardiovasculares,1
1085_train,VALSARTAN,Antihipertensivos y Cardiovasculares,1
1086_test,FÉNOFIBRATE,Antihipertensivos y Cardiovasculares,1
1086_train,FUROSÉMIDE,Antiinflamatorios y Analgésicos,1
1087_test,"TELMISARTAN,  HYDROCHLOROTHIAZIDE",Antihipertensivos y Cardiovasculares,2
1087_train,FÉNOFIBRATE,Antihipertensivos y Cardiovasculares,1
1088_test,LOSARTAN POTASSIQUE,Antihipertensivos y Cardiovasculares,1
1088_train,PARACÉTAMOL,Antiinflamatorios y Analgésicos,1
1089_test,FOSINOPRIL SODIQUE,Antibióticos y Antimicrobianos,1
1089_train,KÉTOCONAZOLE,Antiinflamatorios y Analgésicos,1
109_test,"METFORMINE BASE,  CHLORHYDRATE DE METFORMINE",Antidiabéticos,2
109_train,INTERFÉRON BÊTA-1A,Antivirales,1
1090_test,"VALSARTAN,  HYDROCHLOROTHIAZIDE",Antihipertensivos y Cardiovasculares,2
1090_train,"PÉRINDOPRIL TERT-BUTYLAMINE,  PÉRINDOPRIL",Antihipertensivos y Cardiovasculares,2
1091_test,"IODE,  IOMÉPROL",Otras,2
1091_train,GLICLAZIDE,Antidiabéticos,1
1092_test,CHLORHYDRATE DE NALTREXONE,Otras,1
1092_train,"HYDROCHLOROTHIAZIDE,  LOSARTAN POTASSIQUE",Antihipertensivos y Cardiovasculares,2
1093_test,RABÉPRAZOLE SODIQUE,Otras,1
1093_train,VALSARTAN,Antihipertensivos y Cardiovasculares,1
1094_test,"ESCITALOPRAM,  OXALATE D'ESCITALOPRAM",Antiinflamatorios y Analgésicos,2
1094_train,DIDANOSINE,Antibióticos y Antimicrobianos,1
1095_test,"ALENDRONATE MONOSODIQUE TRIHYDRATÉ,  ACIDE ALENDRONIQUE",Antidiabéticos,2
1095_train,"ATORVASTATINE CALCIQUE,  ATORVASTATINE",Antidepresivos y Psicotrópicos,2
1096_test,MÉTHYLPREDNISOLONE,Hormonas y Moduladores Hormonales,1
1096_train,CHLORHYDRATE DE MIANSÉRINE,Antidepresivos y Psicotrópicos,1
1097_test,"LÉVODOPA,  CARBIDOPA",Antihipertensivos y Cardiovasculares,2
1097_train,PEGINTERFÉRON ALFA-2A,Antivirales,1
1098_test,LÉVÉTIRACÉTAM,Anticonvulsivos y Antiepilépticos,1
1098_train,MOXONIDINE,Antihipertensivos y Cardiovasculares,1
1099_test,RISPÉRIDONE,Antidepresivos y Psicotrópicos,1
1099_train,OLANZAPINE,Antidepresivos y Psicotrópicos,1
11_test,BENZOATE DE BENZYLE,Otras,1
11_train,"FUMARATE DE FORMOTÉROL DIHYDRATÉ,  BUDÉSONIDE",Antihipertensivos y Cardiovasculares,2
110_test,OXOMÉMAZINE,Otras,1
110_train,"GLUCOSE MONOHYDRATÉ,  GLUCOSE ANHYDRE",Antidiabéticos,2
1100_test,PRAVASTATINE SODIQUE,Antihipertensivos y Cardiovasculares,1
1100_train,"BROMHYDRATE DE GALANTAMINE,  GALANTAMINE BASE",Antiinflamatorios y Analgésicos,2
1101_test,ATÉNOLOL,Antivirales,1
1101_train,LACTITOL MONOHYDRATÉ,Antiinflamatorios y Analgésicos,1
1102_test,"HYDROCHLOROTHIAZIDE,  VALSARTAN",Antihipertensivos y Cardiovasculares,2
1102_train,ÉFAVIRENZ,Otras,1
1103_test,"IODE,  IOPAMIDOL",Antivirales,2
1103_train,ROXITHROMYCINE,Otras,1
1104_test,"BROMHYDRATE DE GALANTAMINE,  GALANTAMINE",Antiinflamatorios y Analgésicos,2
1104_train,"DICLOFÉNAC SODIQUE,  DICLOFÉNAC DE DIÉTHYLAMINE",Antiinflamatorios y Analgésicos,2
1105_test,"OXYCODONE,  CHLORHYDRATE D'OXYCODONE",Antiinflamatorios y Analgésicos,2
1105_train,"ESTRADIOL HÉMIHYDRATÉ,  ESTRADIOL",Hormonas y Moduladores Hormonales,2
1106_test,THIOCOLCHICOSIDE,Otras,1
1106_train,MALÉATE DE BROMPHÉNIRAMINE,Antihipertensivos y Cardiovasculares,1
1107_test,"BROMHYDRATE DE GALANTAMINE,  GALANTAMINE",Antiinflamatorios y Analgésicos,2
1107_train,"IODE,  IOBITRIDOL",Otras,2
1108_test,"ALGINATE DE SODIUM,  BICARBONATE DE SODIUM",Antivirales,2
1108_train,TARTRATE DE MÉTOPROLOL,Otras,1
1109_test,"PROPIONATE DE FLUTICASONE,  FUMARATE DE FORMOTÉROL DIHYDRATÉ",Antihipertensivos y Cardiovasculares,2
1109_train,"CHLORHYDRATE D'AMOROLFINE,  AMOROLFINE BASE",Antidepresivos y Psicotrópicos,2
111_test,GLIMÉPIRIDE,Antidiabéticos,1
111_train,"AMOXICILLINE ANHYDRE,  AMOXICILLINE TRIHYDRATÉE",Antihipertensivos y Cardiovasculares,2
1110_test,"PARACÉTAMOL,  CHLORHYDRATE DE TRAMADOL",Antiinflamatorios y Analgésicos,2
1110_train,CLOMIFÈNE (CITRATE DE),Hormonas y Moduladores Hormonales,1
1111_test,SPIRAMYCINE,Antibióticos y Antimicrobianos,1
1111_train,ALPRAZOLAM,Otras,1
1112_test,LANSOPRAZOLE,Antihipertensivos y Cardiovasculares,1
1112_train,"HYDROCHLOROTHIAZIDE,  HÉMIFUMARATE DE BISOPROLOL",Antihipertensivos y Cardiovasculares,2
1113_test,IRBÉSARTAN,Antihipertensivos y Cardiovasculares,1
1113_train,CHLORHYDRATE DE VÉRAPAMIL,Otras,1
1114_test,"GLUCOSE MONOHYDRATÉ,  GLUCOSE ANHYDRE",Antidiabéticos,2
1114_train,"PÉRINDOPRIL,  PÉRINDOPRIL TERT-BUTYLAMINE",Antihipertensivos y Cardiovasculares,2
1115_test,"IRBÉSARTAN,  HYDROCHLOROTHIAZIDE",Antihipertensivos y Cardiovasculares,2
1115_train,"FLUVASTATINE SODIQUE,  FLUVASTATINE",Antihipertensivos y Cardiovasculares,2
1116_test,ALLOPURINOL,Otras,1
1116_train,INTERFÉRON ALFA-2A,Antivirales,1
1117_test,OMÉPRAZOLE,Antibióticos y Antimicrobianos,1
1117_train,MÉTHOTREXATE,Inmunosupresores y Moduladores del Sistema Inmune,1
1118_test,"ÉTHINYLESTRADIOL,  ÉTHINYLESTRADIOL,  LÉVONORGESTREL,  ÉTHINYLESTRADIOL,  LÉVONORGESTREL,  LÉVONORGESTREL",Otras,6
1118_train,DESLORATADINE,Antihistamínicos y Descongestionantes,1
1119_test,FÉNOFIBRATE,Antihipertensivos y Cardiovasculares,1
1119_train,"FUMARATE DE FÉSOTÉRODINE,  FÉSOTÉRODINE",Antiinflamatorios y Analgésicos,2
112_test,VALSARTAN,Antihipertensivos y Cardiovasculares,1
112_train,SULPIRIDE,Antidepresivos y Psicotrópicos,1
1120_test,GLICLAZIDE,Antidiabéticos,1
1120_train,"CHLORHYDRATE DE VENLAFAXINE,  VENLAFAXINE",Antidepresivos y Psicotrópicos,2
1121_test,FONDAPARINUX SODIQUE,Inmunosupresores y Moduladores del Sistema Inmune,1
1121_train,NORDAZÉPAM,Otras,1
1122_test,ACÉTATE DE CYPROTÉRONE,Antiinflamatorios y Analgésicos,1
1122_train,TOPIRAMATE,Antihipertensivos y Cardiovasculares,1
1123_test,LÉVÉTIRACÉTAM,Anticonvulsivos y Antiepilépticos,1
1123_train,"TELMISARTAN,  HYDROCHLOROTHIAZIDE",Antihipertensivos y Cardiovasculares,2
1124_test,"BENZOATE DE RIZATRIPTAN,  RIZATRIPTAN",Otras,2
1124_train,"CHLORHYDRATE DE CIPROFLOXACINE,  CIPROFLOXACINE",Antibióticos y Antimicrobianos,2
1125_test,CHLORHYDRATE DE MÉTHYLPHÉNIDATE,Antidepresivos y Psicotrópicos,1
1125_train,GLIMÉPIRIDE,Antidiabéticos,1
1126_test,"ALENDRONATE MONOSODIQUE TRIHYDRATÉ,  COLÉCALCIFÉROL,  ACIDE ALENDRONIQUE",Antidiabéticos,3
1126_train,ROXITHROMYCINE,Otras,1
1127_test,"CHLORHEXIDINE (DIGLUCONATE DE),  BENZALKONIUM (CHLORURE DE),  ALCOOL BENZYLIQUE",Antihistamínicos y Descongestionantes,3
1127_train,CHLORHYDRATE DE TAMSULOSINE,Antihipertensivos y Cardiovasculares,1
1128_test,"ACIDE CLAVULANIQUE,  CLAVULANATE DE POTASSIUM,  AMOXICILLINE ANHYDRE,  AMOXICILLINE TRIHYDRATÉE",Antiinflamatorios y Analgésicos,4
1128_train,VIRUS DE L'HÉPATITE A SOUCHE HM175 INACTIVÉ ADSORBÉ,Antivirales,1
1129_test,"CHLORHYDRATE DE MÉMANTINE,  MÉMANTINE",Antihipertensivos y Cardiovasculares,2
1129_train,"ISPAGHUL (GRAINE D'),  TÉGUMENT DE LA",Otras,2
113_test,"CIBENZOLINE (SUCCINATE DE),  CIBENZOLINE",Inmunosupresores y Moduladores del Sistema Inmune,2
113_train,"RÉSERPINE,  BENDROFLUMÉTHIAZIDE",Otras,2
1130_test,"RABÉPRAZOLE,  RABÉPRAZOLE SODIQUE",Otras,2
1130_train,CHLORHYDRATE DE TRAMADOL,Otras,1
1131_test,CHLORHYDRATE DE LERCANIDIPINE,Antihipertensivos y Cardiovasculares,1
1131_train,"LISINOPRIL ANHYDRE,  LISINOPRIL DIHYDRATÉ",Antihipertensivos y Cardiovasculares,2
1132_test,GABAPENTINE,Anticonvulsivos y Antiepilépticos,1
